시설명,분류,어른관람료,운영기관전화번호,지역번호
김영갑갤러리 (두모악),일반,4500,064-784-9905,064
자연사랑 미술관,일반,0,064-787-3110,064
러브랜드 미술관,일반,12000,064-712-6988,064
제주 현대미술관,일반,2000,064-710-7801,064
돌하르방공원,일반,6000,064-782-0570,064
포레스트판타지아,일반,15000,064-794-9680,064
제주도립 김창열미술관,일반,2000,064-710-4141,064
제주 유리의 성,일반,11000,064-772-7777,064
소암기념관,일반,0,064-760-3511,064
제주 도립미술관,일반,2000,064-710-4300,064
제주추사관,일반,0,064-710-6803,064
박물관은살아있다,일반,12000,064-805-0888,064
그리스신화박물관,일반,9000,064-773-5800,064
왈종미술관,일반,5000,064-763-3600,064
성안미술관,일반,0,064-729-9175,064
아라리오뮤지엄,일반,10000,064-720-8250,064
유인미술관,일반,12000,064-731-7791,064
경북대학교 박물관,대학,0,053-950-6537,053
대구보건대학교 인당박물관,대학,0,053-320-1857,053
경북대학교 미술관,대학,0,053-950-7968,053
백제문화체험박물관,일반,2000,041-940-4871,041
계명대학교 행소박물관,대학,0,053-580-6992,053
소래역사관,일반,500,032-460-0591,032
애보박물관,일반,2500,032-466-3181,032
한국전통음식박물관,일반,2500,032-466-3181,032
규남박물관,일반,0,070-4233-9060,070
다산미술관,일반,0,061-371-3443,061
소소미술관,일반,0,061-375-1995,061
소아르미술관,일반,0,061-371-8585,061
교동아트미술관,일반,0,063-287-1245,063
전주미술관,일반,4000,063-283-8887,063
누벨벡미술관,일반,0,063-222-7235,063
예깊미술관,일반,0,063-911-2207,063
이당미술관,일반,0,063-446-5903,063
익산예술의전당 미술관,일반,0,1577-0072,1577
W미술관,일반,0,063-835-3033,063
정읍시립미술관,일반,0,063-539-7114,063
수지미술관,일반,3000,063-631-1009,063
예가람길 미술관,일반,0,063-632-0080,063
전라북도도립미술관,일반,0,063-280-2114,063
VM(비주얼 미디어)아트 미술관,일반,0,070-8915-8123,070
최북미술관,일반,0,063-320-2114,063
금구원야외조각미술관,일반,2000,063-584-6770,063
휘목미술관,일반,0,063-584-0006,063
국립전주박물관,일반,0,063-223-5651,063
미륵사지유물전시관,일반,0,063-830-0900,063
전주역사박물관,일반,0,063-228-6485,063
익산보석박물관,일반,3000,063-859-4641,063
남원향토박물관,일반,3000,063-620-6792,063
벽골제농경문화박물관,일반,0,063-540-4989,063
고창판소리박물관,일반,800,063-560-8061,063
전주전통술박물관,일반,0,063-287-6305,063
왕궁리유적전시관,일반,0,063-859-4631,063
어진박물관,일반,0,063-231-0190,063
청자박물관,일반,3000,063-580-3964,063
군산근대역사박물관,일반,3000,063-454-7870,063
동학농민혁명기념관,일반,0,063-536-1894,063
전라북도산림박물관,일반,0,063-652-6792,063
진안역사박물관,일반,0,063-430-8086,063
익산 마한박물관,일반,0,063-859-4633,063
정읍시립박물관,일반,0,063-539-6792,063
순창장류박물관,일반,0,063-650-1627,063
원불교역사박물관,일반,0,063-850-3240,063
원숭이자연사박물관,일반,7000,063-584-0708,063
전주한지박물관,일반,0,063-210-8103,063
예수병원의학박물관,일반,0,063-230-8778,063
카메라영상박물관,일반,0,063-560-6600,063
연안이씨종중문적(보물651호)박물관,일반,3000,063-852-7277,063
완주책박물관,일반,0,070-8915-8131,070
전북대학교박물관,대학,0,063-270-3488,063
전주대학교박물관,대학,0,063-220-2159,063
군산대학교박물관,대학,0,063-469-4191,063
원광대학교박물관,대학,0,063-850-5482,063
일본군''위안부''역사관,일반,5000,031-768-0064,031
영은미술관,일반,6000,031-761-0137,031
닻미술관,일반,2000,031-798-2581,031
만해기념관,일반,2000,031-744-3100,031
사람박물관 얼굴,일반,4000,031-765-3522,031
풀짚공예박물관,일반,3000,031-717-4538,031
백제군사박물관,일반,0,041-746-8432,041
세종특별자치시립 민속박물관,일반,0,044-300-8831,044
교과서박물관,일반,0,044-300-8831,044
뒤웅박고을,일반,0,044-868-7007,044
연기향토박물관,일반,3000,044-862-7449,044
산림박물관,일반,1500,044-850-2686,044
국립조세박물관,일반,0,044-204-4646,044
남도향토음식박물관,일반,0,062-410-6638,062
대성동고분박물관,일반,0,055-330-6881,055
클레이아크 김해미술관,일반,2000,055-340-7000,055
고구려대장간마을,일반,0,031-550-2363,031
외교박물관,일반,0,02-3497-8700,02
전기박물관,일반,0,02-2105-8192,02
관문사성보박물관,일반,0,02-3460-5300,02
인도박물관,일반,3000,02-585-2185,02
서울서예관,일반,0,02-580-1282,02
한가람디자인미술관,일반,0,02-580-1282,02
한가람미술관,일반,0,02-580-1282,02
유리지공예관,일반,0,02-578-6663,02
한원미술관,일반,0,02-588-5642,02
인천광역시립박물관,일반,0,032-440-6750,032
가천박물관,일반,0,032-833-4747,032
경남도립미술관,일반,1000,055-254-4600,055
군산근대역사박물관,일반,2000,063-454-7870,063
양산시립박물관,일반,0,055-392-3314,055
의성조문국박물관,일반,0,054-830-6909,054
영암군립하정웅미술관,일반,0,061-470-6841,061
영암도기박물관,일반,0,061-470-6851,061
상주자전거박물관,일반,0,054-534-4973,054
함창 명주박물관,일반,0,054-541-9260,054
상주박물관,일반,1000,054-537-6752,054
허준박물관,일반,1000,02-3661-8686,02
겸재정선미술관,일반,1000,02-2659-2206,02
정읍시립미술관,일반,0,063-539-6419,063
정읍시립박물관,일반,0,063-539-6792,063
건국대학교박물관,대학,0,02-450-3880,02
세종대학교박물관,대학,0,02-3408-3277,02
추사박물관,일반,2000,02-2150-3650,02
세계다문화박물관,일반,7000,02-323-6848,02
은평역사한옥박물관,일반,1000,02-351-8524,02
통영옻칠미술관,일반,3000,055-649-5257,055
전혁림미술관,일반,0,055-645-7349,055
통영시립박물관,일반,2000,055-646-8371,055
평강 성서유물박물관,일반,2000,02-2686-9496,02
거제박물관,일반,3000,055-687-6790,055
거제민속박물관,일반,2000,055-637-3722,055
해금강테마박물관,일반,6000,055-632-0670,055
외도조경식물원,일반,11000,070-7715-3330,070
거제어촌민속전시관,일반,3000,055-639-8270,055
포로수용소유적박물관,일반,7000,055-639-8125,055
국립해양박물관,일반,0,051-309-1900,051
수도국산달동네박물관,일반,1000,032-770-6133,032
진주시립 이성자미술관,일반,2000,055-749-3661,055
국립진주박물관,일반,2000,055-742-5951,055
경상대학교 부속박물관,대학,0,055-772-0601,055
진주 청동기문화박물관,일반,0,055-749-5172,055
삼성 교통박물관,일반,6000,031-320-9900,031
한국등잔박물관,일반,4000,031-334-0797,031
명지대학교박물관,대학,0,031-330-6074,031
용인대학교박물관,대학,0,031-8020-3001,031
경희대학교혜정박물관,대학,0,031-201-2014,031
단국대학교석주선기념박물관,대학,0,031-8005-2389,031
경기도박물관,일반,4000,031-288-5300,031
경기도어린이박물관,일반,4000,031-270-8636,031
한국민속촌박물관,일반,18000,031-288-0000,031
삶의이야기가있는집,일반,0,031-334-4115,031
호암미술관,일반,4000,031-320-1800,031
용인문화유적전시관,일반,0,031-324-4796,031
예아리박물관,일반,5000,031-323-7277,031
신영숙컬렉션박물관,일반,9000,031-282-8845,031
설민민화박물관,일반,0,031-336-1541,031
한국미술관,일반,0,031-284-6418,031
이영미술관,일반,9000,031-213-8223,031
마가미술관,일반,4000,031-334-0365,031
백남준아트센터,일반,4000,031-201-8500,031
안젤리미술관,일반,5000,031-323-1968,031
청량산박물관,일반,0,054-679-6672,054
충재박물관,일반,0,054-674-0963,054
울산박물관,일반,0,052-222-8501,052
울산암각화박물관,일반,0,052-229-4797,052
울산대곡박물관,일반,0,052-229-6638,052
동두천시 경기북부어린이박물관,일반,4000,031-860-2860,031
자유수호평화박물관,일반,1000,031-860-3333,031
대구미술관,일반,1000,053-803-7900,053
가일미술관,일반,3000,031-584-4722,031
남송미술관,일반,3000,031-581-0772,031
설미재미술관,일반,3000,031-585-6276,031
일지미술관,일반,0,031-585-0180,031
남해유배문학관,일반,2000,055-860-8626,055
보물섬마늘나라,일반,0,055-860-3986,055
덕포진교육박물관,일반,2500,031-989-8580,031
보름산미술관,일반,0,031-985-0005,031
CICA미술관,일반,5000,031-988-6363,031
다도박물관,일반,5000,031-998-1000,031
CICA미술관,일반,5000,031-988-6363,031
보름산미술관,일반,0,031-985-0005,031
외할머니의 부엌,일반,2000,031-984-1993,031
김포다도박물관,일반,5000,031-998-1000,031
덕포진교육박물관,일반,3000,031-989-8580,031
청주고인쇄박물관,일반,0,043-201-4262,043
청주시립미술관,일반,1000,043-201-2650,043
여수민속전시관,일반,0,061-683-2231,061
아쿠아플라넷여수,일반,23000,061-660-1111,061
서대문자연사박물관(3월~10월),일반,6000,02-330-8899,02
서대문자연사박물관(11월~2월),일반,6000,02-330-8899,02
서대문형무소역사관(3월~10월),일반,3000,02-360-8585,02
서대문형무소역사관(11월~12월),일반,3000,02-360-8585,02
산청한의학박물관,일반,2000,055-970-6623,055
산청박물관,일반,0,070-8990-2133,070
한국족보박물관,일반,0,042-582-4445,042
63아트,일반,13000,02-789-5663,02
63아쿠아플라넷,일반,25000,02-789-5663,02
한국잡지박물관,일반,0,02-360-0041,02
증도갯벌생태전시관,일반,0,061-275-8400,061
하의3도농민운동기념관,일반,0,061-240-8865,061
증도소금박물관,일반,0,061-275-0829,061
저녁노을미술관,일반,3000,061-271-1145,061
박득순미술관,일반,0,02-502-4646,02
의병박물관,일반,0,055-570-2345,055
록봉민속교육박물관,일반,5000,051-892-5997,051
옥천향토전시관,일반,0,043-730-3417,043
가산박물관,일반,0,043-733-9129,043
엄미술관,일반,1000,031-222-9188,031
향토박물관,일반,0,031-369-6376,031
용주사효행박물관,일반,0,031-232-0660,031
수원대학교박물관,대학,0,031-220-2341,031
박수근미술관,일반,3000,033-480-2662,033
양구백자박물관,일반,0,033-480-2664,033
양구선사박물관,일반,0,033-480-2677,033
양구근현대사박물관,일반,0,033-482-1945,033
양구인문학박물관,일반,0,033-482-9800,033
쌀문화관,일반,0,031-632-6607,031
시흥역사자료전시관,일반,0,031-317-0827,031
창조자연사박물관,일반,8000,031-435-1009,031
소전미술관,일반,3000,031-313-1211,031
한국최초 성경전래지 기념관,일반,1000,041-951-1816,041
월남이상재선생 전시관,일반,0,041-950-4225,041
서천 이하복 고택 전시관,일반,1500,041-951-4741,041
고성탈박물관,일반,2000,055-670-2948,055
고성박물관,일반,0,055-670-5822,055
고성공룡박물관,일반,3000,055-670-4451,055
어진박물관,일반,3000,063-231-0090,063
전주역사박물관,일반,0,063-228-6485,063
전주미술관,일반,5000,063-283-8887,063
교동아트미술관,일반,0,063-287-1244,063
애니메이션박물관,일반,7000,033-245-6444,033
권진규미술관,일반,10000,033-243-2111,033
이상원미술관,일반,6000,033-255-9001,033
춘천미술관,일반,0,033-241-1856,033
LIUSEUM 세계민족악기전시관,일반,0,031-580-8016,031
한림대학교박물관,대학,0,033-248-2851,033
강원대학교박물관,대학,0,033-250-8075,033
춘천막국수체험박물관,일반,1000,033-244-8869,033
인형극박물관,일반,2000,033-242-8450,033
KT&G 상상마당 춘천 아트센터,일반,4000,033-818-3200,033
공주민속극박물관,일반,3000,041-855-4933,041
임립미술관,일반,5000,041-856-7749,041
석장리박물관,일반,1300,041-840-8924,041
충남역사박물관,일반,0,041-856-8608,041
계룡산자연사박물관,일반,9000,042-825-4052,042
동산박물관,일반,5000,041-858-5009,041
DMZ박물관,일반,0,033-681-0625,033
화진포역사안보전시관,일반,3000,033-680-3363,033
화진포해양박물관,일반,5000,033-680-3674,033
6.25전쟁체험기념관,일반,0,033-682-6625,033
화진포생태박물관,일반,3000,033-681-8311,033
진부령미술관,일반,0,033-681-7667,033
천안박물관,일반,0,041-521-2891,041
유관순열사기념관,일반,0,041-521-2821,041
이동녕기념관,일반,0,041-521-2821,041
독립기념관,일반,0,041-560-0500,041
복권박물관,일반,0,02-2073-7755,02
도계민화박물관,일반,0,041-551-6886,041
백석대학교 기독교박물관,대학,0,041-850-8733,041
천안예술의전당미술관,일반,0,041-901-6610,041
리각미술관,일반,3000,070-4111-3463,070
삼척시립박물관,일반,0,033-575-0768,033
포천역사문화관,일반,0,031-538-3029,031
문경도자기박물관,일반,0,054-550-6416,054
문경석탁박물관,일반,2000,054-550-6422,054
옛길박물관,일반,1000,054-550-6422,054
문경자연생태박물관,일반,2000,054-550-8384,054
대전광역시립미술관,일반,500,042-270-7370,042
대전역사박물관,일반,0,042-270-8600,042
대전선사박물관,일반,0,042-270-8640,042
한국족보박물관,일반,0,042-582-4445,042
한밭교육박물관,일반,0,042-670-2200,042
화폐박물관,일반,0,042-870-1400,042
지질박물관,일반,0,042-868-3797,042
대청댐물문화관,일반,0,042-930-7332,042
옛터민속박물관,일반,0,042-274-0016,042
대전아쿠아리움,일반,21000,042-226-2100,042
충남대학교 박물관,대학,0,042-821-6042,042
충남대학교 자연사박물관,대학,0,042-821-5292,042
한남대학교 중앙박물관,대학,0,042-629-7696,042
한남대학교 자연사박물관,대학,0,042-629-7699,042
대전대학교 박물관,대학,0,042-280-2691,042
배재대학교 박물관,대학,0,042-520-5259,042
군위숭덕박물관,일반,0,054-380-6064,054
경북대학교자연사박물관,대학,0,054-383-7026,054
손기정기념관,일반,0,02-364-1936,02
경주솔거미술관,일반,1000,054-740-3990,054
울산대학교박물관,대학,0,052-259-2635,052
울산박물관,일반,0,052-222-8501,052
장생포고래박물관,일반,2000,052-256-6301,052
함평군립미술관,일반,0,061-320-2276,061
고양어린이박물관,일반,5000,031-839-0300,031
가와지볍씨박물관,일반,0,031-968-3399,031
창녕박물관,일반,0,055-530-1500,055
비봉리 패총전시관,일반,0,055-530-1515,055
부천교육박물관,일반,1000,032-661-1282,032
유럽자기박물관,일반,1000,032-661-0238,032
부천수석박물관,일반,1000,032-655-2900,032
부천활박물관,일반,1000,032-614-2678,032
부천펄벅기념관,일반,0,032-668-7565,032
부천옹기박물관,일반,1000,032-684-9057,032
자연생태박물관,일반,2000,032-625-3503,032
부천로보파크,일반,5000,070-7094-5479,070
한국만화박물관,일반,5000,032-310-3040,032
기지시줄다리기박물관,일반,0,041-350-4929,041
합덕수리민속박물관,일반,0,041-350-4931,041
심훈기념관,일반,0,041-360-6883,041
아미미술관,일반,5000,041-353-1555,041
한국도량형박물관,일반,3000,041-356-9739,041
녹청자박물관,일반,0,032-560-2932,032
양평친환경농업박물관,일반,0,031-772-3370,031
양평곤충박물관,일반,2500,031-775-8022,031
양평군립미술관,일반,700,031-775-8513,031
몽양기념관,일반,800,031-772-2411,031
화서기념관,일반,0,031-774-5326,031
황순원문학촌 소나기마을,일반,1500,031-773-2299,031
양림미술관,일반,0,062-675-7005,062
독도박물관,일반,0,054-790-6436,054
고창판소리박물관,일반,0,063-560-8061,063
한국압화박물관,일반,2000,061-780-2096,061
김천세계도자기박물관,일반,1000,054-420-6726,054
김천시립미술관,일반,0,054-420-6724,054
경북과학대학교박물관,대학,0,054-972-9796,054
수양개선사유물전시관,일반,2000,043-423-8502,043
불교천태중앙박물관,일반,0,043-423-9103,043
서울교육박물관,일반,0,02-2011-5780,02
서울역사박물관,일반,0,02-724-0274,02
꼭두박물관,일반,3000,02-766-3315,02
목인박물관,일반,5000,02-722-5066,02
뮤지엄김치간,일반,5000,02-6002-6256,02
불교중앙박물관,일반,0,02-2011-1960,02
신문박물관,일반,3000,02-2020-1830,02
영인문학관,일반,0,02-379-3182,02
의학박물관,일반,0,02-2072-2636,02
화정박물관,일반,3000,02-2075-0114,02
가회민화박물관,일반,2000,02-741-0466,02
김달진미술자료박물관,일반,0,02-730-6216,02
떡박물관,일반,3000,02-741-5447,02
명인박물관,일반,3000,02-766-0272,02
보나장신구박물관,일반,5000,02-732-6621,02
북촌동양문화박물관,일반,5000,02-723-0190,02
북촌박물관,일반,3000,02-766-8402,02
북촌생활사박물관,일반,5000,02-736-3957,02
삼성출판박물관,일반,3000,02-394-6544,02
세계장신구박물관,일반,7000,02-730-1610,02
쇳대박물관,일반,4000,02-766-6494,02
쉼박물관,일반,10000,02-396-9277,02
유금와당박물관,일반,5000,02-394-3451,02
춘원당한방박물관,일반,0,02-367-2005,02
한국색동박물관,일반,3000,02-765-9286,02
한국현대의상박물관,일반,5000,02-734-7340,02
상명대학교박물관,대학,0,02-781-7920,02
짚풀생활사박물관,일반,5000,02-743-8787,02
한국미술박물관,일반,3000,02-766-6000,02
한무숙문학관,일반,0,02-732-3093,02
서울대학교 치의학대학원 치의학박물관,대학,0,02-740-8799,02
성균관대학교 박물관,대학,0,02-760-1216,02
국립현대미술관(서울관),일반,4000,02-3701-9500,02
OCI 미술관,일반,0,02-734-0440,02
JCC미술관,일반,0,02-2138-7373,02
금호미술관,일반,0,02-720-5114,02
사비나미술관,일반,0,02-736-4371,02
상원미술관,일반,0,02-396-3185,02
성곡미술관,일반,0,02-737-7650,02
세종문화회관 미술관(세종미술관),일반,0,02-399-1156,02
아라리오뮤지엄 인스페이스,일반,10000,02-736-5700,02
아르코미술관,일반,0,02-760-4850,02
아트선재센터,일반,5000,02-733-8945,02
아트센터 나비 미술관,일반,0,02-2121-1031,02
일민미술관,일반,0,02-2020-2050,02
자하미술관,일반,0,02-395-3222,02
토탈미술관,일반,5000,02-379-7037,02
학아재미술관,일반,0,02-766-7647,02
환기미술관,일반,0,02-391-7701,02
세화미술관,일반,12000,02-2002-7785,02
대림미술관,일반,6000,02-720-0667,02
수다라성보박물관,일반,0,061-352-8097,061
우리삶문화옥당박물관,일반,0,070-7011-6887,070
대산미술관,일반,1000,055-291-5237,055
삼육대학교 박물관,대학,0,02-3399-3636,02
서울여자대학교 박물관,대학,0,02-970-5311,02
인덕대학교 아정미술관,대학,0,02-950-7331,02
서울과학기술대학교 미술관,대학,0,02-970-6215,02
검단선사박물관,일반,0,032-440-6790,032
송암미술관,일반,0,032-440-6770,032
한국이민사박물관,일반,0,032-440-4710,032
인천도시역사관,일반,0,032-850-6180,032
인천광역시립박물관,일반,0,032-440-6750,032
우석헌자연사박물관,일반,5000,031-572-9555,031
남양주유기농박물관,일반,2000,031-560-1471,031
무의자박물관,일반,0,02-2279-9755,02
남양주역사박물관,일반,1000,031-576-0558,031
프라움악기박물관,일반,5000,031-521-0441,031
덕소자연사박물관,일반,7000,031-521-7166,031
예당국악박물관,일반,5000,031-558-4825,031
왈츠와닥터만 커피박물관,일반,5000,031-576-6051,031
실학박물관,일반,4000,031-579-6001,031
미호박물관,일반,7000,031-566-7377,031
한국탁본자료관,일반,0,031-576-7908,031
모란미술관,일반,5000,031-594-8001,031
서호미술관,일반,2000,031-592-1865,031
둘리뮤지엄,일반,5000,02-990-2200,02
서대문자연사박물관,일반,6000,02-330-8899,02
서대문형무소역사관,일반,3000,02-360-8590,02
서울교육박물관,일반,0,02-2011-5780,02
서울상상나라,일반,4000,02-6450-9500,02
서울약령시한의약박물관,일반,1000,02-969-9241,02
서울역사박물관,일반,0,02-724-0274,02
성북선잠박물관,일반,1000,02-744-0027,02
손기정기념관,일반,0,02-364-1936,02
수도박물관,일반,0,02-3146-5936,02
은평역사한옥박물관,일반,1000,02-351-8524,02
종로구립 고희동 미술자료관,일반,0,02-2148-4165,02
청계천박물관,일반,0,02-2286-3410,02
한성백제박물관,일반,0,02-2152-5800,02
허준박물관,일반,1000,02-3661-8686,02
가회민화박물관,일반,2000,02-741-0466,02
경기여자고등학교 경운박물관,일반,0,02-3463-1336,02
고촌이종근기념관,일반,0,02-365-6940,02
관문사 성보 박물관,일반,0,02-3460-5300,02
근현대디자인박물관,일반,5000,070-7010-4346,070
기생충박물관,일반,0,02-2601-3278,02
김달진미술자료박물관,일반,0,02-730-6216,02
꼭두박물관,일반,0,02-766-3315,02
농협 농업박물관,일반,0,02-2080-5727,02
세계다문화박물관,일반,7000,02-323-6848,02
도산안창호기념관,일반,0,02-541-1800,02
떡박물관,일반,3000,02-741-5447,02
롯데월드 아쿠아리움,일반,31000,02-1661-2000,02
롯데월드 민속박물관,일반,5000,02-411-4760,02
명인박물관,일반,3000,02-766-0272,02
목인박물관,일반,5000,02-722-5066,02
뮤지엄김치간,일반,5000,02-6002-6456,02
박을복자수박물관,일반,6000,02-990-7000,02
배재학당역사박물관,일반,0,02-319-5578,02
백범김구기념관,일반,0,02-799-3400,02
보나장신구 박물관,일반,5000,02-732-6621,02
북촌동양문화박물관,일반,5000,02-723-0190,02
북촌박물관,일반,3000,02-766-8402,02
북촌생활사박물관,일반,3000,02-736-3957,02
불교중앙박물관,일반,0,02-2011-1960,02
브이센터 더 라이브 뮤지엄,일반,15000,070-4284-8470,070
삼성출판박물관,일반,3000,02-394-6544,02
샬트르성바오로수녀회 역사박물관,일반,0,02-3706-3255,02
서울그레뱅뮤지엄,일반,18000,02-777-4700,02
서울대학교병원 의학박물관,대학,0,02-2072-2636,02
서울올림픽기념관,일반,0,02-410-1354,02
세계골프역사박물관,일반,5000,02-2192-3005,02
세계장신구박물관,일반,7000,02-730-1610,02
쇳대박물관,일반,4000,02-766-6494,02
쉼박물관,일반,10000,02-396-9277,02
신문박물관 PRESSEUM,일반,3000,02-2020-1830,02
아쿠아플라넷63,일반,25000,02-780-6382,02
안중근의사기념관,일반,0,02-3789-1026,02
영인문학관,일반,5000,02-379-3182,02
우리옛돌박물관,일반,7000,02-986-1001,02
우리은행 은행사박물관,일반,0,02-2002-5090,02
우석뮤지엄,일반,0,02-364-8900,02
유금와당박물관,일반,5000,02-394-3451,02
이한열기념관,일반,0,02-325-7216,02
이화박물관,일반,0,02-2175-1964,02
인도박물관,일반,3000,02-585-2185,02
전기박물관,일반,0,02-2105-8190,02
